序号,错误类型,错误现象,可能原因,解决方法
85,ARP防护错误,防护失效,检测规则错误或响应动作不当,调整规则,设置合理动作
86,DoS防护错误,正常流量被拦,阈值设置不当或特征不准,调整阈值,更新特征
87,IP冲突检测错误,误报警,检测敏感度过高或网络波动,调整敏感度,确认网络
88,流量整形错误,延迟增加,整形算法不当或参数错误,更换算法,调整参数
89,队列管理错误,丢包严重,队列长度不足或调度策略不当,增加队列长度,调整策略
90,缓存错误,视频卡顿,缓存空间不足或算法低效,扩大缓存,优化算法
91,负载均衡错误,会话中断,会话保持失效或服务器故障,调整保持时间,检查服务器
92,健康检测错误,服务状态误判,检测方式不当或间隔过长,更换检测方式,缩短间隔
93,SSL卸载错误,性能下降,硬件加速失效或证书处理错误,检查加速卡,重新部署证书
94,链路聚合错误,聚合口宕机,成员口配置不一致或模式错误,统一配置,选择正确模式
95,BFD错误,检测失败,间隔设置过短或倍数过大,调整间隔和倍数
96,VRRP错误,虚拟IP飘移,优先级设置相同或认证失败,区分优先级,设置认证
97,IPSec VPN错误,隧道震荡,生存时间短或密钥不同步,调整时间,同步密钥
98,SSL VPN错误,客户端无法连接,浏览器不兼容或控件未安装,使用兼容浏览器,安装控件
99,L2TP错误,拨号被拒绝,密钥错误或服务器未启动,确认密钥,启动服务
100,PPTP错误,连接超时,防火墙阻止或协议被禁用,开放端口,启用协议
101,GRE错误,隧道不通,协议号被过滤或校验和错误,允许协议,检查校验和
102,IP地址错误,子网划分错误,掩码设置错误或地址重复,正确设置掩码,避免重复
103,路由递归错误,下一跳不可达,路由环路或下一跳失效,检查路由表,确认下一跳
104,策略路由错误,流量不匹配,ACL规则错误或策略未应用,调整ACL,应用策略
105,路由引入错误,路由丢失,引入条件过严或度量值不当,放宽条件,调整度量
106,路由过滤错误,必要路由缺失,过滤列表过严或前缀错误,调整过滤,确认前缀
107,路由聚合错误,路由震荡,聚合范围过大或掩码不当,缩小范围,调整掩码
108,默认路由错误,网络不通,默认路由未下发或下一跳错误,下发路由,确认下一跳
109,黑洞路由错误,流量丢弃,路由指向null0或过滤过严,调整路由,放宽过滤
110,浮动路由错误,切换失败,优先级设置不当或检测失效,调整优先级,检查检测
111,策略备份错误,备份失败,存储空间不足或格式不兼容,清理空间,使用兼容格式
112,配置同步错误,设备配置不一致,同步协议故障或版本差异,检查协议,统一版本
113,自动配置错误,配置错误,模板错误或变量替换失败,检查模板,确认变量
114,零配置错误,设备无法即插即用,协议未开启或网络不支持,开启协议,确认支持
115,云管理错误,无法注册,平台地址错误或令牌失效,确认地址,更新令牌
116,远程升级错误,升级失败,镜像损坏或空间不足,重新下载,清理空间
117,批量配置错误,部分设备失败,网络延迟或设备忙,重试操作,等待空闲
118,配置校验错误,校验失败,语法错误或逻辑冲突,检查语法,解决冲突
119,回滚错误,回滚失败,备份文件损坏或版本不兼容,使用有效备份,确认兼容
120,脚本错误,执行失败,语法错误或权限不足,调试脚本,提升权限
