错误类型,具体错误现象,原因分析,改进方法
并发编程错误,并发访问共享资源未同步,多个Goroutine同时读写共享数据（如映射、全局变量）而未使用互斥锁，导致数据竞争,使用同步机制（如sync.Mutex、channel）保护共享资源
并发编程错误,channel操作导致死锁,例如，Goroutine在等待一个永远不会发送的数据，或所有Goroutine都阻塞在channel操作上,确保channel有正确的发送/接收配对，使用select避免永久阻塞，考虑使用带缓冲的channel
并发编程,测试中未使用竞争检测器,数据竞争可能导致线上神秘错误,使用go run/build/test -race启用竞争检测
数据类型和结构使用错误,混淆nil切片和空切片,nil切片未分配底层数组，空切片是长度容量为0的切片,根据语义选择：nil切片表示不存在的切片，空切片表示存在的空集合
数据类型和结构使用错误,错误使用切片操作导致共享底层数组,切片操作（如reslice）产生的新切片可能与原切片共享底层数组，修改一个会影响另一个,如需独立修改，使用copy函数复制所需数据
数据类型和结构使用错误,误用new和make,new(T)返回指向类型T零值的指针（*T），make用于初始化切片、映射和通道,根据类型选择：切片、映射、通道用make，数组、结构体等值类型用new（或直接使用字面量）
数据类型和结构使用错误,误用指针指向接口类型,接口类型本身是一种封装了类型和值的结构，使用指针接口通常不必要的,直接使用接口类型作为参数，而非指针接口
数据类型和结构使用错误,误用指针传递值类型参数,在不需要修改接收者数据的方法上使用指针接收者，或反之,若需修改接收者数据，使用指针接收者；否则使用值接收者
数据类型和结构使用错误,字符串拼接方式低效,使用 += 在循环中拼接字符串会产生大量临时字符串和拷贝,使用bytes.Buffer或strings.Builder进行高效拼接
数据类型和结构使用错误,方法修改了非指针接收器,在值接收器方法中修改接收器不会影响原始值,若需在方法中修改接收器，必须使用指针接收器
数据类型和结构使用错误,糟糕的结构体字段排序,结构体字段顺序不合理可能导致内存浪费,将相同类型的字段尽量放在一起，减少内存对齐带来的填充空间
错误处理不当,未显式处理错误,忽略了函数返回的错误值,始终检查并处理函数返回的错误
错误处理不当,仅部分处理错误,只检查了某个操作的错误，但忽略了后续操作可能产生的错误,对每个可能出错的操作都进行错误检查
错误处理不当,错误信息不够具体,仅返回或记录原始错误，缺乏上下文,使用fmt.Errorf("%w", err)包装错误以添加上下文，或使用自定义错误类型
错误处理不当,不正确地使用panic和recover,普通错误使用panic而非返回error，或recover使用不当（如不在defer中调用）,将error用于预期错误，panic仅用于严重错误（如程序无法继续）。recover应在defer函数中使用
环境与工具使用问题,依赖包或库文件缺失,未正确下载或安装项目依赖,使用go get下载依赖，使用Go Modules管理依赖（go mod tidy）
环境与工具使用问题,环境变量配置错误（GOPATH、GOROOT）,GOPATH或GOROOT设置不正确,正确设置GOPATH（工作目录）和GOROOT（Go安装目录），并确保$GOROOT/bin在PATH中
环境与工具使用问题,Go版本不兼容,代码使用的Go特性与当前编译器版本不兼容,使用go mod tidy检查依赖版本，或升级/降级Go版本至兼容版本
环境与工具使用问题,文件路径或包名错误,例如，文件名与包名不一致，或文件路径错误导致导入失败,确保文件路径正确，包名与目录名一致（main包除外）
逻辑错误,无限递归调用,递归函数缺少退出条件或条件永真，且Go无尾调用优化，导致栈溢出,确保递归函数有正确的基线条件（退出条件）
逻辑错误,循环逻辑错误,循环条件、变量初始化或更新不当导致无限循环或未按预期执行,仔细检查循环条件和变量更新
逻辑错误,条件判断逻辑错误,条件表达式（如if、switch）编写有误,使用调试工具检查条件分支
