错误类型,错误描述,产生原因
网络错误,Address already in use,端口已被其他进程占用(如启动服务时端口被占用、未释放TIME_WAIT状态端口)
网络错误,Address not available,绑定端口时指定的IP地址在本机不存在(IP配置错误、网卡未启动)
网络错误,Connection reset by peer,连接被对方主动重置(服务重启、网络中断、对方防火墙拦截)
网络错误,Connection aborted,连接异常中止(网络波动、服务崩溃、本地防火墙主动断开)
网络错误,Name or service not known,域名解析失败(DNS配置错误、域名不存在、网络不通)
网络错误,Unknown host,无法解析主机名( DNS服务器故障、/etc/hosts未配置、域名拼写错误)
网络错误,Protocol not supported,使用的网络协议不被系统支持(协议未启用、内核模块缺失)
网络错误,Operation not supported on transport endpoint,传输层端点不支持该操作(连接已关闭、端口未监听)
用户账户错误,User does not exist,指定的用户不存在(用户名拼写错误、用户已删除)
用户账户错误,Group does not exist,指定的用户组不存在(组名拼写错误、组已删除)
用户账户错误,Authentication failure,登录认证失败(密码错误、SSH密钥不匹配、PAM配置限制)
用户账户错误,Account locked,用户账户被锁定(密码输错次数过多、管理员手动锁定)
用户账户错误,Account expired,用户账户已过期(管理员设置了账户有效期)
用户账户错误,Password expired,用户密码已过期(系统强制密码定期更换)
用户账户错误,Permission denied (publickey),SSH登录时密钥认证失败(公钥未添加到authorized_keys、权限错误)
进程相关错误,No such process,试图操作不存在的进程(进程ID错误、进程已终止)
进程相关错误,Operation not permitted,试图操作无权限的进程(如普通用户kill root进程)
进程相关错误,Resource temporarily unavailable,资源暂时不可用(如信号量未释放、进程等待队列满)
进程相关错误,Cannot fork,无法创建新进程(系统进程数达到上限、内存不足)
进程相关错误,Exec format error,执行文件格式错误(32位程序在64位系统、文件损坏、缺少解释器)
进程相关错误,Segmentation fault,进程访问非法内存地址(程序bug、内存损坏、参数错误)
进程相关错误,Bus error,进程访问无效的内存地址(硬件故障、内存对齐错误、程序bug)
进程相关错误,Out of memory,系统内存不足(OOM killer杀死进程、物理内存+交换分区耗尽)
进程相关错误,Stack overflow,进程栈溢出(递归过深、栈空间配置过小)
进程相关错误,Illegal instruction,进程执行非法指令(程序编译错误、CPU架构不兼容、文件损坏)
挂载错误,Can't find in /etc/fstab.,挂载时未指定设备/目录或/etc/fstab中无对应配置
挂载错误,Mount point does not exist,挂载点目录不存在(路径错误、未创建目录)
挂载错误,Invalid filesystem type,文件系统类型不支持(未加载对应的内核模块、文件系统识别错误)
挂载错误,Bad superblock,文件系统超级块损坏(磁盘故障、非法关机导致文件系统损坏)
挂载错误,Could not find device with uuid...,根据UUID挂载时设备UUID不存在(UUID错误、设备未连接)
挂载错误,Permission denied,挂载时权限不足(需root权限、设备权限限制)
日志相关错误,Permission denied: cannot open log file,日志文件权限不足或路径不存在
日志相关错误,Log file too large,日志文件超过系统限制(未配置日志轮转、日志输出过多)
日志相关错误,Cannot write to log file,日志文件所在分区满或文件被锁定
服务相关错误,Unit [服务名].service not found,系统中不存在指定的systemd服务(服务未安装、名称错误)
服务相关错误,Job for [服务名].service failed,服务启动失败(配置文件错误、依赖服务未启动、权限不足)
服务相关错误,Service already running,试图启动已运行的服务(未先停止服务)
服务相关错误,Service not running,试图停止未运行的服务(服务未启动或已终止)
服务相关错误,Failed to start [服务名].service: Unit not found,systemd未识别服务(配置文件错误、未重载配置)
服务相关错误,Timeout waiting for service,服务启动超时(依赖资源未就绪、服务配置错误)
配置文件错误,Invalid configuration file,配置文件语法错误(格式错误、参数非法、缺少括号)
配置文件错误,Missing required parameter,配置文件缺少必需参数(关键配置项未设置)
配置文件错误,Duplicate parameter,配置文件中存在重复参数(同一配置项多次定义)
配置文件错误,Permission denied: cannot read config file,配置文件权限不足(用户无读取权限)
配置文件错误,No such file or directory: config file,配置文件不存在(路径错误、文件被删除)
编译构建错误,No such file or directory (include file),编译时缺少头文件(依赖库未安装、路径未指定)
编译构建错误,Undefined reference to [函数名],链接时缺少函数定义(依赖库未链接、函数未实现)
编译构建错误,Permission denied: cannot create object file,编译输出目录权限不足或磁盘满
编译构建错误,Invalid option -- [选项],编译器不支持的选项(编译器版本过低、选项拼写错误)
编译构建错误,Error: incompatible types,编译时类型不兼容(变量类型错误、函数返回值不匹配)
压缩解压错误,unzip: cannot find or open [文件],压缩文件不存在或路径错误
压缩解压错误,gzip: [文件]: not in gzip format,文件不是gzip格式(后缀错误、文件损坏)
压缩解压错误,tar: Error opening archive: Failed to open '[文件]',tar文件不存在、权限不足或格式错误
压缩解压错误,tar: Unrecognized archive format,tar文件格式不支持(文件损坏、非tar格式)
压缩解压错误,Checksum error,压缩文件校验和错误(文件传输过程中损坏、下载不完整)
数据库相关错误,Access denied for user '[用户]'@'[主机]',数据库用户认证失败(密码错误、权限未授权)
数据库相关错误,Can't connect to MySQL server on '[主机]',数据库服务未启动、端口未开放或网络不通
数据库相关错误,Database does not exist,指定的数据库不存在(数据库名拼写错误、未创建)
数据库相关错误,Table '[表名]' doesn't exist,指定的数据库表不存在(表名拼写错误、未创建)
数据库相关错误,Duplicate entry '[值]' for key 'PRIMARY',插入数据时主键重复(主键值已存在)
数据库相关错误,Lock wait timeout exceeded,数据库锁等待超时(事务未提交、锁竞争激烈)
磁盘相关错误,hdparm: /dev/sda: Operation not permitted,磁盘操作权限不足(需root权限)
磁盘相关错误,smartctl: Device Open Failed,无法打开磁盘设备(权限不足、设备未识别、驱动问题)
磁盘相关错误,Bad blocks found,磁盘存在坏道(硬件故障、长期使用损耗)
磁盘相关错误,Partition table invalid,磁盘分区表损坏(非法操作、磁盘故障)
符号链接错误,Too many levels of symbolic links,符号链接循环(如A链接B，B链接A)
符号链接错误,No such file or directory (symlink target),符号链接指向的目标文件/目录不存在
符号链接错误,Permission denied (symlink),访问符号链接时目标文件/目录权限不足
环境变量错误,Undefined variable,使用未定义的环境变量(变量未导出、拼写错误)
环境变量错误,Command not found (PATH error),PATH环境变量未包含命令所在路径(配置错误、未生效)
环境变量错误,Invalid argument (env var),环境变量值非法(含特殊字符、格式错误)
定时任务错误,crontab: no crontab for [用户],用户没有定时任务(未创建crontab文件)
定时任务错误,crontab: error reading crontab file,crontab文件语法错误或权限不足
定时任务错误,Job failed to run,定时任务执行失败(命令错误、权限不足、路径问题)
SSH相关错误,Connection closed by remote host,SSH连接被远程主机关闭(配置限制、超时、认证失败)
SSH相关错误,Permission denied (password),SSH密码登录失败(密码错误、PAM配置限制)
SSH相关错误,Host key verification failed,SSH主机密钥不匹配(远程主机更换、中间人攻击风险)
SSH相关错误,Port 22: Connection refused,SSH服务未启动、端口被占用或防火墙拦截
NFS相关错误,mount.nfs: access denied by server while mounting, NFS服务器拒绝挂载(权限配置错误、客户端未授权)
NFS相关错误,mount.nfs: No route to host, NFS服务器不可达(网络故障、IP配置错误)
NFS相关错误,mount.nfs: Connection timed out, NFS挂载超时(服务器未响应、防火墙拦截)
Docker相关错误,Cannot connect to the Docker daemon, Docker守护进程未启动或权限不足
Docker相关错误,No such image: [镜像名], 本地不存在指定的Docker镜像(镜像名错误、未拉取)
Docker相关错误,port is already allocated, Docker端口映射时端口已被占用
Docker相关错误,permission denied while trying to connect to the Docker daemon, 普通用户无Docker操作权限
SELinux/AppArmor错误,Operation not permitted (SELinux), SELinux策略阻止操作(未配置相应规则)
SELinux/AppArmor错误,Permission denied (AppArmor), AppArmor配置限制操作(应用权限未开放)
内核相关错误,Kernel panic - not syncing, 内核崩溃(硬件故障、驱动冲突、内核bug)
内核相关错误,Module not found, 加载内核模块时模块不存在(模块名错误、未安装对应内核模块)
内核相关错误,Operation not supported, 内核不支持该操作(内核版本过低、未启用相关功能)
时间同步错误,ntpdate: no server suitable for synchronization found, NTP服务器不可达或配置错误
时间同步错误,Failed to synchronize time, 时间同步失败(网络不通、NTP服务未启动、权限不足)
邮件相关错误,sendmail: Cannot send message: Operation not permitted, 发送邮件权限不足或配置错误
邮件相关错误,smtp-server: Authentication failed, SMTP服务器认证失败(用户名/密码错误、权限不足)
打印相关错误,lp: Error - no default destination available, 未设置默认打印机或打印机未连接
打印相关错误,lp: Error - printer not found, 指定的打印机不存在(打印机名错误、未配置)
USB设备错误,usb 1-1: device not accepting address, USB设备无法识别(接口故障、驱动缺失、供电不足)
USB设备错误,No such device (usb), USB设备未连接或未被系统识别(硬件故障、驱动问题)
蓝牙相关错误,bluetoothd: Failed to start SDP server, 蓝牙SDP服务器启动失败(端口被占用、配置错误)
蓝牙相关错误,Can't connect to Bluetooth device, 蓝牙设备连接失败(设备未配对、距离过远、权限不足)
音频相关错误,alsactl: load_state:1685: Cannot open /var/lib/alsa/asound.state, 音频配置文件缺失或权限不足
音频相关错误,No sound card detected, 系统未检测到声卡(驱动未安装、硬件故障、模块未加载)
视频相关错误,Could not initialize OpenGL, OpenGL初始化失败(显卡驱动未安装、配置错误)
视频相关错误,No video device found, 未检测到视频设备(摄像头未连接、驱动缺失、权限不足)
FTP相关错误,530 Login incorrect, FTP登录认证失败(用户名/密码错误)
FTP相关错误,425 Can't open data connection, FTP数据连接无法建立(防火墙拦截、被动模式未启用)
SFTP相关错误,subsystem request failed on channel 0, SFTP子系统未启用(SSH配置错误、服务未安装)
SFTP相关错误,Permission denied (sftp), SFTP操作权限不足(目标路径无读写权限)
DNS相关错误,Resolver timed out, DNS解析超时(DNS服务器未响应、网络延迟过高)
DNS相关错误,No address associated with hostname, 主机名未解析到IP地址(域名不存在、DNS配置错误)
防火墙相关错误,iptables: No chain/target/match by that name, iptables链、目标或匹配规则不存在(拼写错误、模块未加载)
防火墙相关错误,firewalld is not running, firewalld服务未启动(无法执行防火墙配置操作)
