错误编号,错误信息,常见原因
25,"(error) NOSCRIPT No matching script. Please use EVAL.","尝试执行未加载的 Lua 脚本（使用 EVALSHA 但脚本未缓存）"
26,"(error) ERR Error running script (call to f_xxx): @user_script:line: ERR...","Lua 脚本执行时内部出错（如类型错误、逻辑错误）"
27,"(error) ERR MULTI calls can not be nested","在事务中重复调用 MULTI"
28,"(error) EXECABORT Transaction discarded because of previous errors","事务中某条命令入队失败（如语法错误），EXEC 被拒绝"
29,"(error) ERR DISCARD without MULTI","在非事务上下文中调用 DISCARD"
30,"(error) ERR EXEC without MULTI","在非事务上下文中调用 EXEC"
31,"(error) ERR Cannot use 'KEYS' in Redis Cluster mode","在集群模式下使用了 KEYS 命令（因涉及所有节点）"
32,"(error) ERR 'FLUSHALL' command not allowed","命令被 rename-command 禁用或 ACL 策略拒绝"
33,"(error) ERR 'FLUSHDB' command not allowed","同上，FLUSHDB 被禁用"
34,"(error) ERR too many arguments for command","命令参数过多（如 SET key value EX PX 同时使用）"
35,"(error) ERR invalid expire time in SETEX","SETEX 的过期时间不是正整数"
36,"(error) ERR invalid expire time in PEXPIRE/EXPIRE","过期时间无效（负数或非整数）"
37,"(error) ERR hash slot is not served","集群中请求的槽未被任何节点服务（配置错误或迁移失败）"
38,"(error) ERR Slot <slot> is already migrating","槽已在迁移过程中，不能重复发起迁移"
39,"(error) ERR Slot <slot> is not migrating","试图导入一个未处于迁移状态的槽"
40,"(error) ERR Can't replicate from a replica","试图将一个从节点设置为另一个从节点的主节点"
41,"(error) ERR Invalid replication ID","PSYNC 命令使用了无效的复制 ID"
42,"(error) ERR Unsupported CONFIG parameter","CONFIG SET/GET 使用了不支持的参数名"
43,"(error) ERR Invalid argument 'xxx' for CONFIG SET 'parameter'","CONFIG SET 的值格式或范围错误"
44,"(error) ERR AOF is disabled, can't send background rewrite","AOF 未启用却执行 BGREWRITEAOF"
45,"(error) ERR Background append only file rewriting already in progress","已有 AOF 重写进程在运行"
46,"(error) ERR Background saving already in progress","已有 RDB 保存（BGSAVE）在运行"
47,"(error) ERR Can't BGSAVE while AOF log rewriting is in progress","某些旧版本限制同时进行 BGSAVE 和 AOF 重写"
48,"(error) ERR Master is currently disconnected","从节点尝试执行某些操作但与主节点断开连接"
49,"(error) ERR Only allowed from loopback address","某些管理命令（如 CONFIG）被配置为仅限本地访问（protected-mode）"
50,"(error) ERR ACL rules can't be applied to user 'default' in this context","ACL 配置语法错误或对 default 用户操作不当"
51,"(error) ERR User <name> already exists","创建已存在的 ACL 用户"
52,"(error) ERR User <name> does not exist","操作不存在的 ACL 用户"
53,"(error) ERR Unbalanced quotes in configuration line","redis.conf 配置文件中引号未闭合"
54,"(error) ERR Invalid UTF-8 string","某些命令（如 MODULE LOAD）传入了非法 UTF-8 字符串"
55,"(error) ERR Stream ID specified in XADD is zero","XADD 使用了非法的 Stream ID（如 0-0）"
56,"(error) ERR The ID specified in XADD is equal or smaller than the target stream top item","Stream ID 未递增（违反单调性）"
57,"(error) ERR XADD failed because of wrong ID format","Stream ID 格式错误（如缺少 '-' 或非数字）"
58,"(error) ERR No such group","消费组不存在（XREADGROUP、XGROUP 等操作）"
59,"(error) ERR No such key or consumer group","Stream 键或消费组不存在"
60,"(error) ERR Consumer without pending messages","试图删除没有待处理消息的消费者"
