错误类型,错误描述,产生原因
运行时错误,音频格式异常(UnsupportedAudioFileException),AudioSystem读取不支持的音频文件
运行时错误,并发修改异常(迭代器),使用迭代器遍历集合时通过迭代器以外的方式修改集合
运行时错误,空字符串转换异常,将空字符串转为数值类型(如Double.parseDouble(""))
运行时错误,BigDecimal除法未指定精度,BigDecimal.divide()未指定舍入模式导致除不尽
运行时错误,日期转换异常,将不符合格式的字符串转为Date对象(如"2025-13-01")
运行时错误,集合为空时调用stream(),对null集合调用stream()方法
运行时错误,Optional.get()无值,Optional对象为空时调用get()方法未先判断
运行时错误,线程池关闭后提交任务,线程池shutdown()后继续submit()任务
运行时错误,锁未释放,获取锁后未在finally中释放导致死锁
运行时错误,数据库连接池耗尽,未归还数据库连接导致连接池无可用连接
运行时错误,网络超时异常(SocketTimeoutException),网络操作超出指定超时时间
运行时错误,HTTP请求异常(HttpException),HTTP请求失败(如404、500状态码)
运行时错误,JSON解析异常(JsonParseException),JSON字符串格式非法无法解析
运行时错误,JSON映射异常(JsonMappingException),JSON字段与Java对象字段无法映射
运行时错误,XML解析异常(SAXException),XML文件格式非法无法解析
运行时错误,反射权限不足,模块化项目中反射访问其他模块的成员未开放权限
运行时错误,本地方法调用异常(UnsatisfiedLinkError),JNI调用的本地库缺失或版本不兼容
运行时错误,系统资源不足(OutOfResourcesError),系统文件句柄、端口等资源耗尽
运行时错误,类加载器冲突,多个类加载器加载同一类导致类型不兼容
运行时错误,线程状态异常(IllegalThreadStateException),对线程执行非法操作(如对运行中的线程调用start())
