"序号","错误类型","常见错误描述","原因分析"
96,"国际化错误","中文文件名乱码","未设置AddDefaultCharset UTF-8或文件系统编码不匹配"
97,"国际化错误","URL含非ASCII字符404","未正确编码或RewriteRule未处理UTF-8"
98,"国际化错误","日志时间时区错误","未设置TimeLog或系统时区不一致"
99,"国际化错误","错误页面语言固定","未配置多语言ErrorDocument"
100,"升级/兼容错误","Apache 2.2配置用于2.4","Require all granted替代Allow from all"
101,"升级/兼容错误","mod_access_compat未加载","2.2风格访问控制在2.4中失效"
102,"升级/兼容错误","mpm_event下使用非线程安全模块","如mod_php在event MPM下崩溃"
103,"升级/兼容错误","配置文件路径变更","如conf.d vs sites-available差异"
104,"升级/兼容错误","默认MIME类型变化","新版本默认行为不同"
105,"DNS/网络错误","反向DNS查找超时","HostnameLookups On导致延迟"
