"序号","错误类型","常见错误描述","原因分析"
57,"逻辑错误","条件判断使用赋值而非比较","if (x = 5) 应为 if (x == 5)"
58,"逻辑错误","浮点数直接比较相等","if (a == b) 对float/double不安全"
59,"逻辑错误","短路求值误解","误以为&&两侧都会执行"
60,"逻辑错误","位运算优先级错误","a & b == c 实际为 a & (b == c)"
61,"逻辑错误","递归无终止条件","递归函数缺少base case"
62,"逻辑错误","switch缺少break","导致case穿透，非预期执行"
63,"逻辑错误","数组索引从1开始","C数组从0开始，误用1-based索引"
64,"逻辑错误","负数取模结果误解","C中-5%2为-1，非1"
65,"逻辑错误","整数除法截断","5/2结果为2而非2.5"
66,"未定义行为","修改同一变量多次（无序列点）","i = i++ + ++i;"
67,"未定义行为","访问联合体非最后写入成员","写入一个成员后读取另一个"
68,"未定义行为","有符号整数溢出","int最大值+1行为未定义"
69,"未定义行为","左移负数或溢出","1 << 32（int为32位）未定义"
70,"未定义行为","解引用非法地址","如*(int*)0x12345678"
71,"未定义行为","main函数无return（C99前）","C99前main必须显式return"
72,"未定义行为","函数无返回值却使用返回值","void函数被赋值给变量"
73,"未定义行为","结构体填充字节读取","依赖结构体内部填充布局"
74,"未定义行为","volatile变量优化误解","误以为volatile保证原子性"
75,"未定义行为","多线程无同步访问共享变量","C标准不保证线程安全"
76,"编译器相关错误","使用编译器扩展代码","如GCC的__attribute__在其他编译器报错"
77,"编译器相关错误","忽略编译器警告","如未使用返回值、未初始化变量等"
78,"标准库错误","传递非法参数给库函数","如memcpy(NULL, src, 10)"
79,"标准库错误","qsort比较函数返回值错误","未返回负/零/正整数"
80,"标准库错误","time_t假设为整数","time_t可能是浮点或其他类型"
81,"标准库错误","rand()未初始化种子","未调用srand导致每次序列相同"
82,"标准库错误","strtok非线程安全","多线程中使用strtok导致冲突"
83,"标准库错误","errno未及时检查","库函数出错后未立即检查errno"
84,"标准库错误","setjmp/longjmp滥用","跳过变量初始化或析构"
85,"标准库错误","signal处理函数不安全","在信号处理中调用非异步信号安全函数"
86,"可移植性错误","假设int为32位","int大小依赖平台"
87,"可移植性错误","指针与整数大小假设","64位系统指针为8字节，int可能为4"
88,"可移植性错误","字节序依赖","直接操作多字节数据未考虑endianness"
89,"可移植性错误","路径分隔符硬编码","Windows用\，Unix用/，应使用宏"
90,"可移植性错误","换行符差异","文本模式下\n在不同系统表现不同"
91,"性能错误","频繁调用strlen","在循环条件中每次计算字符串长度"
92,"性能错误","不必要的内存拷贝","频繁memcpy大块数据"
93,"性能错误","未使用const优化","函数参数未用const限制，编译器无法优化"
94,"性能错误","递归可转为迭代未转换","深度递归导致栈溢出或低效"
95,"性能错误","I/O未缓冲","频繁调用putc而非使用缓冲"
96,"安全错误","缓冲区溢出","使用strcpy、sprintf等不安全函数"
97,"安全错误","格式化字符串攻击","printf(user_input) 导致任意内存读取"
98,"安全错误","命令注入","system(user_input) 执行恶意命令"
99,"安全错误","整数溢出导致缓冲区计算错误","malloc(n * size) 中n*size溢出"
100,"安全错误","未验证外部输入","直接使用用户输入作为数组索引或指针偏移"
101,"初始化错误","全局变量未初始化","虽默认为0，但风格不佳或误解"
102,"初始化错误","结构体部分初始化","未显式初始化的成员值不确定（C89）"
103,"初始化错误","数组初始化大小不一致","int a[3] = {1,2,3,4}; 元素过多"
104,"初始化错误","静态局部变量重复初始化","误以为每次进入函数都初始化"
105,"初始化错误","联合体初始化非首成员","C89只允许初始化第一个成员"
